instituicao,ensino,pesquisa,mercado,inovacao,internacionalizacao
UNIVERSIDADE DE SÃO PAULO,31.06,41.61,18.0,3.81,3.86
UNIVERSIDADE ESTADUAL DE CAMPINAS,31.77,41.47,17.09,3.85,3.81
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,31.32,41.18,16.73,3.85,3.32
UNIVERSIDADE FEDERAL DE MINAS GERAIS,30.02,40.54,17.91,3.68,3.36
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,30.8,39.3,17.73,3.81,3.7
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,29.27,40.39,17.73,3.35,3.55
UNIVERSIDADE FEDERAL DE SANTA CATARINA,30.87,39.97,15.91,3.41,3.56
UNIVERSIDADE DE BRASÍLIA,30.79,38.49,16.27,3.17,3.57
UNIVERSIDADE FEDERAL DO PARANÁ,29.82,38.55,17.09,3.46,2.98
UNIVERSIDADE FEDERAL DE SÃO CARLOS,30.58,39.3,14.73,2.91,3.3
UNIVERSIDADE FEDERAL DE SÃO PAULO,30.94,40.34,12.09,2.79,3.6
UNIVERSIDADE FEDERAL DE PERNAMBUCO,29.33,36.95,17.09,3.02,2.95
UNIVERSIDADE FEDERAL DE GOIÁS,27.92,37.26,16.73,2.85,3.2
UNIVERSIDADE FEDERAL DA BAHIA,26.69,37.12,17.46,3.37,3.27
UNIVERSIDADE FEDERAL FLUMINENSE,29.57,35.57,16.27,3.09,3.29
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,28.59,37.26,15.73,3.5,2.37
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,27.9,37.59,14.73,3.55,3.56
UNIVERSIDADE FEDERAL DE VIÇOSA,30.38,38.07,12.09,3.51,2.63
UNIVERSIDADE FEDERAL DO CEARÁ,26.56,37.01,16.73,3.38,2.86
UNIVERSIDADE FEDERAL DE SANTA MARIA,28.95,37.92,13.82,2.66,2.45
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,24.7,37.21,16.73,3.27,3.22
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,26.27,35.37,17.09,2.57,3.32
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,26.41,37.21,13.82,3.06,3.08
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,24.86,36.28,15.27,3.11,3.84
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,26.72,36.0,14.73,2.97,2.83
UNIVERSIDADE FEDERAL DE LAVRAS,29.22,37.56,9.36,2.85,3.0
UNIVERSIDADE ESTADUAL DE MARINGÁ,27.75,35.15,14.73,2.31,1.83
UNIVERSIDADE FEDERAL DA PARAÍBA,27.14,34.21,15.27,2.59,2.44
UNIVERSIDADE ESTADUAL DE LONDRINA,25.89,33.29,15.73,3.25,2.02
UNIVERSIDADE FEDERAL DO PARÁ,25.23,33.43,15.27,3.21,2.89
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,24.4,32.33,17.27,3.52,2.29
UNIVERSIDADE FEDERAL DE SERGIPE,23.82,34.25,14.73,2.67,2.87
UNIVERSIDADE DO VALE DO RIO DOS SINOS,23.38,33.53,14.73,2.62,2.85
UNIVERSIDADE FEDERAL DE PELOTAS,24.99,36.88,10.91,2.34,1.71
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,27.76,37.85,1.64,3.51,3.95
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,22.77,33.76,12.64,2.11,3.0
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,26.87,31.19,9.36,3.15,2.69
UNIVERSIDADE FEDERAL DE ALAGOAS,22.24,31.51,13.82,2.82,2.25
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,26.08,33.13,9.36,2.54,0.98
UNIVERSIDADE FEDERAL DE OURO PRETO,26.16,34.21,7.18,3.41,1.03
UNIVERSIDADE FEDERAL DE MATO GROSSO,22.75,30.47,13.82,2.02,2.84
UNIVERSIDADE PRESBITERIANA MACKENZIE,24.3,24.74,17.46,1.4,3.49
UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,26.84,34.81,3.09,2.92,2.7
FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,24.14,31.37,12.09,1.78,0.91
UNIVERSIDADE FEDERAL DO PIAUÍ,22.85,31.6,12.09,1.75,1.45
UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,25.49,27.7,12.09,2.53,1.87
UNIVERSIDADE FEDERAL DE ALFENAS,25.46,30.29,9.36,1.9,2.54
UNIVERSIDADE FEDERAL DO AMAZONAS,23.45,27.68,14.73,1.97,1.22
UNIVERSIDADE FEDERAL DO RIO GRANDE,25.39,34.27,3.09,2.9,3.25
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,26.08,29.06,9.36,1.88,1.7
UNIVERSIDADE DE PASSO FUNDO,19.43,30.65,13.82,1.85,1.95
UNIVERSIDADE FEDERAL DO MARANHÃO,22.46,28.28,12.64,2.14,2.09
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,26.33,20.28,17.27,0.84,2.37
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,23.79,33.91,5.64,2.11,1.54
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,26.31,30.0,7.18,1.34,2.08
UNIVERSIDADE FEDERAL DE ITAJUBÁ,26.28,31.84,3.09,2.53,2.89
UNIVERSIDADE DE FORTALEZA,18.96,27.2,16.27,1.95,1.98
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,22.53,21.61,17.73,3.04,1.0
UNIVERSIDADE ESTADUAL DO CEARÁ,22.1,27.21,13.82,1.47,1.27
UNIVERSIDADE CATÓLICA DE BRASÍLIA,17.18,27.43,15.27,2.58,2.65
UNIVERSIDADE ESTADUAL DE PONTA GROSSA,23.64,29.47,7.18,1.83,2.46
UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,19.41,32.06,7.18,2.95,2.96
UNIVERSIDADE DE PERNAMBUCO,20.2,27.7,13.82,1.01,1.49
UNIVERSIDADE DE CAXIAS DO SUL,19.07,27.65,13.82,2.76,0.75
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,24.8,28.82,5.64,1.59,2.57
UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,20.89,27.33,9.36,1.98,2.77
UNIVERSIDADE NOVE DE JULHO,17.93,23.75,15.73,1.16,2.07
UNIVERSIDADE TIRADENTES,15.48,24.8,12.64,2.53,3.0
UNIVERSIDADE ESTADUAL DE SANTA CRUZ,18.65,29.4,5.64,0.95,3.59
UNIVERSIDADE DO VALE DO ITAJAÍ,19.46,20.13,14.73,1.43,2.47
UNIVERSIDADE REGIONAL DE BLUMENAU,17.18,23.5,12.64,2.44,1.95
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,22.16,27.49,4.27,1.36,1.79
UNIVERSIDADE DO ESTADO DA BAHIA,21.48,16.14,15.73,2.43,1.11
UNIVERSIDADE CATÓLICA DOM BOSCO,13.99,27.62,12.09,0.9,1.98
UNIVERSIDADE PAULISTA,17.99,16.34,17.91,0.42,2.08
UNIVERSIDADE DO SUL DE SANTA CATARINA,11.35,25.11,13.82,1.09,2.44
FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,19.93,22.45,7.18,1.44,2.27
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,23.3,23.85,3.09,1.73,1.1
UNIVERSIDADE ESTADUAL DE MONTES CLAROS,17.36,27.02,5.64,1.59,0.39
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,18.24,25.89,3.09,2.19,1.42
FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,19.14,23.71,5.64,1.02,1.12
UNIVERSIDADE ESTADUAL DO CENTRO OESTE,22.71,20.35,4.27,2.87,0.12
UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,17.77,20.66,9.36,0.87,1.4
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,21.02,23.41,3.09,0.84,1.53
UNIVERSIDADE ESTADUAL DA PARAÍBA,15.94,19.78,10.91,1.47,1.25
